epoch,step,train_loss,train_mae,train_mse,val_loss,val_mae,val_mse
63,11519,,,,-1.6775014400482178,4.749562740325928,34.57076644897461
64,11549,-1.759993076324463,4.264285087585449,27.805255889892578,,,
64,11599,-1.7318726778030396,4.385373115539551,29.665203094482422,,,
64,11649,-1.357704520225525,6.852423667907715,70.21265411376953,,,
64,11699,-1.3090232610702515,7.028363227844238,78.54107666015625,,,
64,11699,,,,-1.4119470119476318,5.964305400848389,65.66700744628906
65,11749,-1.8815844058990479,3.6405062675476074,21.015295028686523,,,
65,11799,-1.4322056770324707,6.059279918670654,59.144493103027344,,,
65,11849,-0.8815086483955383,10.883597373962402,210.18966674804688,,,
65,11879,,,,-1.7959263324737549,4.168551445007324,26.317922592163086
66,11899,-1.7855135202407837,4.204005241394043,26.218425750732422,,,
66,11949,-1.5859633684158325,5.365171432495117,41.51036834716797,,,
66,11999,-1.6912801265716553,4.671423435211182,32.571659088134766,,,
66,12049,-1.9517202377319336,3.4977002143859863,17.881324768066406,,,
66,12059,,,,-1.4556876420974731,5.925619602203369,58.788124084472656
67,12099,-1.649595022201538,4.695561408996582,35.852962493896484,,,
67,12149,-1.8665589094161987,3.8395302295684814,21.755096435546875,,,
67,12199,-1.8601338863372803,3.938042402267456,22.079345703125,,,
67,12239,,,,-1.7725499868392944,4.346893787384033,27.877811431884766
68,12249,-1.6662276983261108,4.231696128845215,34.50580596923828,,,
68,12299,-1.4304546117782593,6.172806739807129,59.383445739746094,,,
68,12349,-1.1421070098876953,8.396669387817383,115.3487548828125,,,
68,12399,-1.6613638401031494,4.848776817321777,34.894432067871094,,,
68,12419,,,,-0.9783352613449097,10.094449043273926,177.15769958496094
69,12449,-1.4250521659851074,6.329768180847168,60.126773834228516,,,
69,12499,-1.6814017295837402,4.968031883239746,33.321022033691406,,,
69,12549,-1.807694435119629,3.9902853965759277,24.912981033325195,,,
69,12599,-2.1347200870513916,2.7223305702209473,11.732748985290527,,,
69,12599,,,,-1.7827316522598267,4.185332298278809,27.220861434936523
70,12649,-1.8341153860092163,4.321209907531738,23.442535400390625,,,
70,12699,-1.7117003202438354,4.669248104095459,31.075611114501953,,,
70,12749,-1.6240980625152588,5.069690227508545,38.02086639404297,,,
70,12779,,,,-1.3167930841445923,7.00615930557251,80.7033462524414
71,12799,-1.6837308406829834,4.351790904998779,33.142799377441406,,,
71,12849,-1.5602781772613525,5.061495780944824,44.0394401550293,,,
71,12899,-1.6083815097808838,4.944395065307617,39.42198944091797,,,
71,12949,-1.4028160572052002,6.6774773597717285,63.28547286987305,,,
71,12959,,,,-1.0500165224075317,9.052284240722656,152.38002014160156
72,12999,-1.2059119939804077,7.927875518798828,99.58819580078125,,,
72,13049,-1.385207176208496,6.3733062744140625,65.90414428710938,,,
72,13099,-0.6698142290115356,13.342580795288086,342.22027587890625,,,
72,13139,,,,-1.7917330265045166,4.209161281585693,26.473695755004883
73,13149,-1.1114047765731812,9.766054153442383,123.7984619140625,,,
73,13199,-1.5952812433242798,5.597047805786133,40.62924575805664,,,
73,13249,-1.5801047086715698,5.626405715942383,42.07415008544922,,,
